username,name,followers,followers_num,location,price,rating,package_offer,instagram_url,collabstr_url,profile_image
bossbabykiki,Irene Cazares,23.3k,23300,"Seattle, WA, US",$600,5.0,1 Instagram Photo Feed Post,https://www.instagram.com/bossbabykiki,https://collabstr.com/bossbabykiki?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/35022/1653059730723687.webp
connectwithhayley,Hayley,20.2k,20200,"Raleigh, NC, US",$150,,1 Instagram Story,https://www.instagram.com/connectwithhayley,https://collabstr.com/connectwithhayley?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/224762/17285037297753735.webp
alexisamomdotcom,Alexandra Dastrup,21.1k,21100,"Phoenix, AZ, US",$500,5.0,1 Instagram Photo Feed Post,https://www.instagram.com/alexisamomdotcom,https://collabstr.com/alexisamomdotcom?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/34600/1691616668613794.webp
capitaodiana,Diana Capitao,20.3k,20300,"Beverly, MA, US",$100,5.0,1 Instagram Story,https://www.instagram.com/capitaodiana,https://collabstr.com/capitaodiana?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/782298/1769426089113581.webp
chrissyjeub,Chrissy Jeub,23.3k,23300,"Knoxville, TN, US",$300,5.0,2 Instagram Photo Feed Posts,https://www.instagram.com/chrissyjeub,https://collabstr.com/chrissyjeub?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/92675/17781781250893703.webp
deboradutra,Debora Dutra,17.4k,17400,"New York, NY, US",$100,5.0,1 Instagram Story,https://www.instagram.com/deboradutra,https://collabstr.com/deboradutra?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/334975/17448633536817434.webp
zabellaskyeperez,Zabella Skye Perez,14.0k,14000,"Ocala, FL, US",$150,5.0,1 Instagram Story,https://www.instagram.com/zabellaskyeperez,https://collabstr.com/zabellaskyeperez?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/131724/1707341130246581.webp
jasentabuell,Jasenta Buell,18.0k,18000,"Tampa, FL, US",$100,,1 Instagram Photo Feed Post,https://www.instagram.com/jasentabuell,https://collabstr.com/jasentabuell?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/505557/17864544399105988.webp
amydmomauthor,Amy Doslich,10.6k,10600,"Grapevine, TX, US",$75,4.9,1 Instagram Story,https://www.instagram.com/amydmomauthor,https://collabstr.com/amydmomauthor?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/148268/171228590243763.webp
aryakiddingme,Arya Larson,11.7k,11700,"Salt Lake City, UT, US",$50,5.0,1 Instagram Story,https://www.instagram.com/aryakiddingme,https://collabstr.com/aryakiddingme?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/244588/1779240961018008.webp
pennsylvaniakid,Jackie Fleury,30.0k,30000,"Philadelphia, PA, US",$75,5.0,1 Instagram Story,https://www.instagram.com/pennsylvaniakid,https://collabstr.com/pennsylvaniakid?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/184925/17208749225304193.webp
exploreonthespectrum,Exploreonthespectrum,17.2k,17200,"Tampa, FL, US",$50,,1 Instagram Story,https://www.instagram.com/exploreonthespectrum,https://collabstr.com/exploreonthespectrum?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/398068/1750330256100968.webp
familyfunincali,Nicole Monteleone,16.3k,16300,"Oak Hills, CA, US",$50,,1 Instagram Story,https://www.instagram.com/familyfunincali,https://collabstr.com/familyfunincali?p=instagram,https://d5ik1gor6xydq.cloudfront.net/None
jillianmothers,Jillian Sigurdson,27.6k,27600,,$400,,1 Instagram Photo Feed Post,https://www.instagram.com/jillianmothers,https://collabstr.com/jillianmothers?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/416597/1751855315163652.webp
kaaayvi,Kaaayvi,30.0k,30000,"San Diego, CA, US",$100,5.0,,https://www.instagram.com/kaaayvi,https://collabstr.com/kaaayvi?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/170977/17788845458961666.webp
prenataltocradle-sleep,Sarah Baraldi,45.3k,45300,"Woodbury, NJ, US",$175,4.8,,https://www.instagram.com/prenataltocradle-sleep,https://collabstr.com/prenataltocradle-sleep?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/230092/17295154757559402.webp
kalynndaviss,Kalynn,24.2k,24200,"Saint Louis, MO, US",$750,5.0,1 Instagram Photo Feed Post,https://www.instagram.com/kalynndaviss,https://collabstr.com/kalynndaviss?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/217448/17272372349425085.webp
chrisnadams,Chris Adams,42.1k,42100,"Westfield, IN, US",$100,5.0,,https://www.instagram.com/chrisnadams,https://collabstr.com/chrisnadams?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/160311/17154464067147422.webp
laurensamuels,Lauren Samuels,41.9k,41900,"Phoenix, AZ, US",$150,,1 Instagram Story,https://www.instagram.com/laurensamuels,https://collabstr.com/laurensamuels?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/92863/17541904506863194.webp
kieranandmama,Kaci Costello,17.7k,17700,"Hopewell Junction, NY, US",$50,,1 Instagram Story,https://www.instagram.com/kieranandmama,https://collabstr.com/kieranandmama?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/465236/17553888854428809.webp
bohdanafuriaka,Bohdana Furiaka,10.6k,10600,"Renton, WA, US",$75,,,https://www.instagram.com/bohdanafuriaka,https://collabstr.com/bohdanafuriaka?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/913240/17720748733510919.webp
happiestohana,Jasmine Nip,48.3k,48300,"Honolulu, HI, US",$450,,1 Instagram Photo Feed Post,https://www.instagram.com/happiestohana,https://collabstr.com/happiestohana?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/10739/16276326669536295.webp
milkbliss,Jessica Ciraulo,27.1k,27100,"Cranford, NJ, US",$275,5.0,1 Instagram Reel,https://www.instagram.com/milkbliss,https://collabstr.com/milkbliss?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/34094/1672783807364438.webp
marandterry,Mar Knight,10.4k,10400,"Sunny Isles, FL, US",$50,5.0,,https://www.instagram.com/marandterry,https://collabstr.com/marandterry?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/279683/17824500594596908.webp
jamieleephotography,Jamie Fischer,30.0k,30000,"Saint Louis, MO, US",$275,5.0,1 Instagram Story,https://www.instagram.com/jamieleephotography,https://collabstr.com/jamieleephotography?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/792038/17695584639453866.webp
stefhubble,Stef Hubble,26.6k,26600,"Denver, CO, US",$250,,,https://www.instagram.com/stefhubble,https://collabstr.com/stefhubble?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1250711/1779209273666841.webp
navyasdiaries,Navya Jagarlamudi,11.8k,11800,"San Diego, CA, US",$50,5.0,1 Instagram Story,https://www.instagram.com/navyasdiaries,https://collabstr.com/navyasdiaries?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/345579/1745865314523824.webp
raisingthepays,Jamie Prazak,23.9k,23900,"Port Saint Lucie, FL, US",$50,5.0,1 Instagram Story,https://www.instagram.com/raisingthepays,https://collabstr.com/raisingthepays?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1327574/17809200702464552.webp
kellytotoraitis,Kelly Totoraitis,42.3k,42300,"Plainfield, IL, US",$50,5.0,1 Instagram Story,https://www.instagram.com/kellytotoraitis,https://collabstr.com/kellytotoraitis?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1084362/17753149532899425.webp
helloitsmaurissa,Maurissa Ashby,12.9k,12900,"Salt Lake City, UT, US",$450,5.0,1 Instagram Photo Feed Post,https://www.instagram.com/helloitsmaurissa,https://collabstr.com/helloitsmaurissa?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/4577/16633674843135633.webp
stephaniesanza,Stephanie,19.8k,19800,"Torrance, CA, US",$50,,1 Instagram Story,https://www.instagram.com/stephaniesanza,https://collabstr.com/stephaniesanza?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/364957/17475202801367006.webp
